2023-02-13 18:01:23,089 INFO    MainThread:18303 [wandb_setup.py:_flush():68] Configure stats pid to 18303
2023-02-13 18:01:23,090 INFO    MainThread:18303 [wandb_setup.py:_flush():68] Loading settings from /gs/gsfs0/users/asyed/.config/wandb/settings
2023-02-13 18:01:23,090 INFO    MainThread:18303 [wandb_setup.py:_flush():68] Loading settings from /mnt/gsfs0/home/asyed/pw/jobs/ICLR/wandb/settings
2023-02-13 18:01:23,090 INFO    MainThread:18303 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-13 18:01:23,090 INFO    MainThread:18303 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-02-13 18:01:23,090 INFO    MainThread:18303 [wandb_init.py:_log_setup():476] Logging user logs to /mnt/gsfs0/home/asyed/pw/jobs/ICLR/wandb/run-20230213_180122-1ysoeqgx/logs/debug.log
2023-02-13 18:01:23,090 INFO    MainThread:18303 [wandb_init.py:_log_setup():477] Logging internal logs to /mnt/gsfs0/home/asyed/pw/jobs/ICLR/wandb/run-20230213_180122-1ysoeqgx/logs/debug-internal.log
2023-02-13 18:01:23,090 INFO    MainThread:18303 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f76f4744f70>
2023-02-13 18:01:23,090 INFO    MainThread:18303 [wandb_init.py:init():516] calling init triggers
2023-02-13 18:01:23,090 INFO    MainThread:18303 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-02-13 18:01:23,090 INFO    MainThread:18303 [wandb_init.py:init():569] starting backend
2023-02-13 18:01:23,090 INFO    MainThread:18303 [wandb_init.py:init():573] setting up manager
2023-02-13 18:01:23,094 INFO    MainThread:18303 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-13 18:01:23,102 INFO    MainThread:18303 [wandb_init.py:init():580] backend started and connected
2023-02-13 18:01:23,112 INFO    MainThread:18303 [wandb_run.py:_label_probe_notebook():1116] probe notebook
2023-02-13 18:01:23,113 INFO    MainThread:18303 [wandb_run.py:_label_probe_notebook():1126] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-02-13 18:01:23,113 INFO    MainThread:18303 [wandb_init.py:init():658] updated telemetry
2023-02-13 18:01:23,453 INFO    MainThread:18303 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-02-13 18:01:23,699 INFO    MainThread:18303 [wandb_run.py:_on_init():2006] communicating current version
2023-02-13 18:01:23,848 INFO    MainThread:18303 [wandb_run.py:_on_init():2010] got version response upgrade_message: "wandb version 0.13.10 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-02-13 18:01:23,848 INFO    MainThread:18303 [wandb_init.py:init():728] starting run threads in backend
2023-02-13 18:01:28,871 INFO    MainThread:18303 [wandb_run.py:_console_start():1986] atexit reg
2023-02-13 18:01:28,871 INFO    MainThread:18303 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-02-13 18:01:28,871 INFO    MainThread:18303 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-02-13 18:01:28,871 INFO    MainThread:18303 [wandb_run.py:_redirect():1931] Redirects installed.
2023-02-13 18:01:28,871 INFO    MainThread:18303 [wandb_init.py:init():765] run started, returning control to user process
2023-02-13 18:01:28,874 INFO    MainThread:18303 [wandb_init.py:_pause_backend():389] pausing backend
2023-02-13 18:01:28,874 INFO    MainThread:18303 [jupyter.py:save_ipynb():378] not saving jupyter notebook
2023-02-13 18:01:28,879 INFO    MainThread:18303 [wandb_init.py:_resume_backend():398] resuming backend
2023-02-13 18:01:28,882 INFO    MainThread:18303 [wandb_init.py:_pause_backend():389] pausing backend
2023-02-13 18:01:28,882 INFO    MainThread:18303 [jupyter.py:save_ipynb():378] not saving jupyter notebook
2023-02-13 18:01:28,887 INFO    MainThread:18303 [wandb_init.py:_resume_backend():398] resuming backend
2023-02-13 18:01:31,864 INFO    MainThread:18303 [wandb_init.py:_pause_backend():389] pausing backend
2023-02-13 18:01:31,864 INFO    MainThread:18303 [jupyter.py:save_ipynb():378] not saving jupyter notebook
