2023-02-14 00:57:29,807 INFO    MainThread:29963 [wandb_setup.py:_flush():68] Configure stats pid to 29963
2023-02-14 00:57:29,808 INFO    MainThread:29963 [wandb_setup.py:_flush():68] Loading settings from /gs/gsfs0/users/asyed/.config/wandb/settings
2023-02-14 00:57:29,808 INFO    MainThread:29963 [wandb_setup.py:_flush():68] Loading settings from /mnt/gsfs0/home/asyed/pw/jobs/ICLR/wandb/settings
2023-02-14 00:57:29,808 INFO    MainThread:29963 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-14 00:57:29,808 INFO    MainThread:29963 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-02-14 00:57:29,808 INFO    MainThread:29963 [wandb_init.py:_log_setup():476] Logging user logs to /mnt/gsfs0/home/asyed/pw/jobs/ICLR/wandb/run-20230214_005729-1je648il/logs/debug.log
2023-02-14 00:57:29,808 INFO    MainThread:29963 [wandb_init.py:_log_setup():477] Logging internal logs to /mnt/gsfs0/home/asyed/pw/jobs/ICLR/wandb/run-20230214_005729-1je648il/logs/debug-internal.log
2023-02-14 00:57:29,808 INFO    MainThread:29963 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f1d844176a0>
2023-02-14 00:57:29,808 INFO    MainThread:29963 [wandb_init.py:init():516] calling init triggers
2023-02-14 00:57:29,808 INFO    MainThread:29963 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-02-14 00:57:29,808 INFO    MainThread:29963 [wandb_init.py:init():569] starting backend
2023-02-14 00:57:29,808 INFO    MainThread:29963 [wandb_init.py:init():573] setting up manager
2023-02-14 00:57:29,811 INFO    MainThread:29963 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-14 00:57:29,831 INFO    MainThread:29963 [wandb_init.py:init():580] backend started and connected
2023-02-14 00:57:29,841 INFO    MainThread:29963 [wandb_run.py:_label_probe_notebook():1116] probe notebook
2023-02-14 00:57:29,841 INFO    MainThread:29963 [wandb_run.py:_label_probe_notebook():1126] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-02-14 00:57:29,841 INFO    MainThread:29963 [wandb_init.py:init():658] updated telemetry
2023-02-14 00:57:29,968 INFO    MainThread:29963 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-02-14 00:57:30,146 INFO    MainThread:29963 [wandb_run.py:_on_init():2006] communicating current version
2023-02-14 00:57:30,311 INFO    MainThread:29963 [wandb_run.py:_on_init():2010] got version response upgrade_message: "wandb version 0.13.10 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-02-14 00:57:30,311 INFO    MainThread:29963 [wandb_init.py:init():728] starting run threads in backend
2023-02-14 00:57:35,337 INFO    MainThread:29963 [wandb_run.py:_console_start():1986] atexit reg
2023-02-14 00:57:35,338 INFO    MainThread:29963 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-02-14 00:57:35,338 INFO    MainThread:29963 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-02-14 00:57:35,338 INFO    MainThread:29963 [wandb_run.py:_redirect():1931] Redirects installed.
2023-02-14 00:57:35,338 INFO    MainThread:29963 [wandb_init.py:init():765] run started, returning control to user process
2023-02-14 00:57:35,340 INFO    MainThread:29963 [wandb_init.py:_pause_backend():389] pausing backend
2023-02-14 00:57:35,340 INFO    MainThread:29963 [jupyter.py:save_ipynb():378] not saving jupyter notebook
2023-02-14 00:57:35,350 INFO    MainThread:29963 [wandb_init.py:_resume_backend():398] resuming backend
2023-02-14 00:58:05,068 INFO    MainThread:29963 [wandb_init.py:_pause_backend():389] pausing backend
2023-02-14 00:58:05,069 INFO    MainThread:29963 [jupyter.py:save_ipynb():378] not saving jupyter notebook
2023-02-14 00:58:05,076 INFO    MainThread:29963 [wandb_init.py:_resume_backend():398] resuming backend
2023-02-14 00:58:08,987 INFO    MainThread:29963 [wandb_init.py:_pause_backend():389] pausing backend
2023-02-14 00:58:08,988 INFO    MainThread:29963 [jupyter.py:save_ipynb():378] not saving jupyter notebook
